iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.463854 , 0.602849 , 
2 , 5.87 , 1078.65 , 3.89508 , 10 , 27.0791 , 50.7426 , 10 , 75.7119 , 0.644095 , 0.847532 , 
3 , 12.19 , 1056.01 , 18.9836 , 10 , 37.7745 , 22.2091 , 10 , 65.606 , 0.668691 , 0.925102 , 
4 , 18.37 , 1023.58 , 12.5076 , 10 , 40.6953 , 16.0528 , 10 , 60.0577 , 0.67995 , 0.933262 , 
5 , 23.75 , 998.153 , 11.5979 , 10 , 42.1525 , 15.3171 , 10 , 56.1311 , 0.686682 , 0.93568 , 
6 , 28.78 , 989.348 , 11.2465 , 10 , 43.781 , 15.1609 , 10 , 53.6377 , 0.684188 , 0.930184 , 
7 , 33.48 , 979.389 , 11.3321 , 10 , 45.0905 , 12.5242 , 10 , 51.5959 , 0.683719 , 0.935853 , 
8 , 37.44 , 977.513 , 11.188 , 10 , 46.6076 , 12.4912 , 10 , 49.8946 , 0.694515 , 0.925967 , 
9 , 40.74 , 976.602 , 11.0043 , 10 , 47.9931 , 15.2343 , 10 , 48.1437 , 0.677141 , 0.941086 , 
10 , 45.68 , 989.909 , 11.2597 , 10 , 49.9574 , 12.4902 , 10 , 47.7845 , 0.693084 , 0.916876 , 
11 , 50.18 , 991.709 , 13.1765 , 10 , 48.6297 , 13.0458 , 10 , 49.2367 , 0.678625 , 0.921127 , 
12 , 55.49 , 985.21 , 11.8572 , 10 , 48.2244 , 11.7713 , 10 , 49.1195 , 0.677144 , 0.92557 , 
13 , 60.37 , 986.268 , 11.7563 , 10 , 48.5889 , 11.922 , 10 , 48.8456 , 0.673725 , 0.916869 , 
14 , 65.3 , 986.943 , 11.5327 , 10 , 48.9039 , 11.6004 , 10 , 48.6304 , 0.683718 , 0.923999 , 
15 , 69.21 , 986.558 , 11.5819 , 10 , 48.9691 , 12.2163 , 10 , 48.4651 , 0.677279 , 0.915972 , 
16 , 75.86 , 987.411 , 11.8056 , 10 , 49.1464 , 11.654 , 10 , 48.4294 , 0.677419 , 0.922512 , 
17 , 79.74 , 989.1 , 11.4929 , 10 , 49.2509 , 13.4156 , 10 , 48.3176 , 0.68184 , 0.921907 , 
18 , 84.29 , 990.088 , 11.7858 , 10 , 49.2796 , 13.0252 , 10 , 48.4267 , 0.682973 , 0.924474 , 
19 , 89.21 , 986.822 , 11.8802 , 10 , 48.9828 , 11.6546 , 10 , 48.5339 , 0.68684 , 0.926176 , 
20 , 94.49 , 986.939 , 11.7722 , 10 , 49.064 , 11.7477 , 10 , 48.4551 , 0.682021 , 0.921934 , 
21 , 98.37 , 988.443 , 11.5368 , 10 , 49.2541 , 12.8818 , 10 , 48.3021 , 0.682354 , 0.925327 , 
22 , 103.65 , 987.621 , 11.7487 , 10 , 49.2633 , 11.518 , 10 , 48.3471 , 0.685182 , 0.923736 , 
23 , 106.91 , 993.201 , 11.8515 , 10 , 48.9943 , 14.4019 , 10 , 48.8857 , 0.677703 , 0.914882 , 
24 , 113.71 , 987.763 , 12.2234 , 10 , 48.4418 , 11.6117 , 10 , 49.1733 , 0.68361 , 0.917866 , 
25 , 117.95 , 985.045 , 11.8746 , 10 , 48.3103 , 11.9073 , 10 , 49.0035 , 0.682952 , 0.924295 , 
26 , 122.14 , 984.701 , 11.5076 , 10 , 48.8354 , 11.8614 , 10 , 48.4485 , 0.688509 , 0.925667 , 
27 , 126.27 , 987.107 , 11.4835 , 10 , 49.2746 , 11.6049 , 10 , 48.2756 , 0.689847 , 0.925794 , 
28 , 130.33 , 987.484 , 11.8455 , 10 , 49.2019 , 11.5056 , 10 , 48.3959 , 0.681596 , 0.924969 , 
29 , 134.1 , 990.334 , 12.2607 , 10 , 48.7866 , 11.7658 , 10 , 49.0702 , 0.676018 , 0.91025 , 
30 , 140.51 , 987.262 , 12.5925 , 10 , 47.9043 , 12.6266 , 10 , 49.5592 , 0.673375 , 0.923114 , 
31 , 145.04 , 983.258 , 11.763 , 10 , 48.0817 , 12.194 , 10 , 49.0247 , 0.682036 , 0.927393 , 
32 , 150.27 , 986.279 , 11.2737 , 10 , 49.0533 , 11.5085 , 10 , 48.4238 , 0.68894 , 0.921896 , 
