netflix_regression
seed;N=10; N=20; n=50
0;0.711208;0.711208; 
1;0.679205;0.679205; 
2;0.696113;0.696113; 
3;0.695684;0.695684; 
4;0.691512;0.691512; 
5; ; ; 
6; ; ; 
7; ; ; 
8; ; ; 
9; ; ; 

mean;0.6947443999999999;0.6544222;
std dev;0.011464373087962549;0.01258384393577736;
