iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.530115 , 0.628243 , 
2 , 14980.9 , 11798.2 , 3.85358 , 10 , 759.501 , 10.2559 , 10 , 419.298 , 0.53535 , 0.949242 , 
3 , 29890.3 , 12040.3 , 5.96122 , 10 , 742.202 , 24.4989 , 10 , 459.381 , 0.573125 , 0.971245 , 
4 , 45272.2 , 12212.2 , 2.79943 , 10 , 710.615 , 5.14785 , 10 , 510.089 , 0.610472 , 0.981362 , 
5 , 60700 , 12176.3 , 1.71631 , 10 , 665.394 , 10.6486 , 10 , 551.176 , 0.629858 , 0.979128 , 
