movielens_NDCG
seed;N=10; N=20; n=50
0;0.642801;0.642801;0.642801
1;0.638790;0.638790;0.638790
2;0.623903;0.623903;0.623903
3;0.637311;0.637311;0.637311
4;0.629750;0.629750;0.629750
5;0.629335;0.629335;0.629335
6;0.635968;0.635968;0.635968
7;0.633791;0.633791;0.633791
8;0.652200;0.652200;0.652200
9;0.627460;0.627460;0.627460

mean;0.635131;0.632973;0.610124
std dev;0.008288;0.003611;0.002362
