iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.465029 , 0.597741 , 
2 , 11.48 , 801.965 , 1.78212 , 10 , 33.9889 , 3.88266 , 10 , 45.8193 , 0.530935 , 1 , 
3 , 22.48 , 764.768 , 2.60949 , 10 , 32.5069 , 2.71008 , 10 , 43.6988 , 0.551103 , 0.999998 , 
4 , 31.5 , 750.83 , 2.36887 , 10 , 32.0327 , 2.59261 , 10 , 42.7911 , 0.563592 , 0.999823 , 
5 , 40.83 , 743.912 , 2.27914 , 10 , 31.8521 , 2.39805 , 10 , 42.2993 , 0.569274 , 1 , 
6 , 49.57 , 739.423 , 2.22283 , 10 , 31.7342 , 2.37263 , 10 , 41.9708 , 0.572894 , 0.999983 , 
7 , 58.42 , 736.062 , 2.19024 , 10 , 31.6967 , 2.31786 , 10 , 41.6777 , 0.575423 , 1 , 
8 , 67.63 , 734.105 , 2.20261 , 10 , 31.6981 , 2.31358 , 10 , 41.4811 , 0.578922 , 0.999741 , 
9 , 76.88 , 732.712 , 2.17014 , 10 , 31.7048 , 2.3333 , 10 , 41.333 , 0.579651 , 0.999775 , 
10 , 83.88 , 731.667 , 2.11914 , 10 , 31.7025 , 2.66259 , 10 , 41.198 , 0.579588 , 0.999665 , 
11 , 91.22 , 731.069 , 2.1162 , 10 , 31.7429 , 2.29366 , 10 , 41.1346 , 0.582331 , 0.999998 , 
12 , 98.95 , 729.79 , 2.14741 , 10 , 31.6826 , 2.2753 , 10 , 41.0689 , 0.579803 , 0.999591 , 
13 , 106.22 , 729.525 , 2.14771 , 10 , 31.7036 , 2.25454 , 10 , 41.0235 , 0.580564 , 0.999764 , 
14 , 112.99 , 728.796 , 2.13644 , 10 , 31.6881 , 2.61954 , 10 , 40.9296 , 0.581637 , 0.999934 , 
15 , 119.41 , 728.469 , 2.11771 , 10 , 31.731 , 2.68454 , 10 , 40.8474 , 0.58175 , 0.999581 , 
16 , 126.25 , 728.747 , 2.13749 , 10 , 31.7827 , 2.53422 , 10 , 40.8386 , 0.583443 , 0.999749 , 
17 , 133.14 , 728.513 , 2.1001 , 10 , 31.7913 , 2.47392 , 10 , 40.8126 , 0.582108 , 0.999997 , 
18 , 139.64 , 728.251 , 2.09872 , 10 , 31.7976 , 2.67132 , 10 , 40.7603 , 0.581893 , 0.998931 , 
19 , 146.56 , 728.303 , 2.08774 , 10 , 31.8451 , 2.34251 , 10 , 40.7509 , 0.581648 , 0.999995 , 
20 , 153.72 , 727.9 , 2.12908 , 10 , 31.811 , 2.42158 , 10 , 40.7368 , 0.58066 , 0.99966 , 
21 , 159.73 , 728.174 , 2.09391 , 10 , 31.7908 , 2.68617 , 10 , 40.758 , 0.583579 , 0.999729 , 
22 , 167.37 , 726.787 , 2.11575 , 10 , 31.8201 , 2.23061 , 10 , 40.6355 , 0.579976 , 0.999818 , 
23 , 176.25 , 726.596 , 2.16798 , 10 , 31.8463 , 2.23153 , 10 , 40.5901 , 0.580825 , 0.999493 , 
24 , 182.54 , 727.003 , 2.14781 , 10 , 31.8357 , 2.66077 , 10 , 40.5985 , 0.581877 , 0.999925 , 
25 , 188.98 , 727.244 , 2.10614 , 10 , 31.8894 , 2.57109 , 10 , 40.578 , 0.581082 , 0.999938 , 
26 , 195.46 , 726.801 , 2.09324 , 10 , 31.9207 , 2.59063 , 10 , 40.5003 , 0.580249 , 0.999673 , 
27 , 202.25 , 726.705 , 2.10853 , 10 , 31.9523 , 2.49969 , 10 , 40.4683 , 0.577718 , 0.999365 , 
28 , 208.21 , 726.984 , 2.10289 , 10 , 31.9784 , 2.78337 , 10 , 40.4417 , 0.579913 , 0.999503 , 
29 , 215.86 , 726.272 , 2.11199 , 10 , 32.063 , 2.2067 , 10 , 40.3435 , 0.579026 , 0.999826 , 
30 , 225.11 , 726.225 , 2.15905 , 10 , 32.0833 , 2.18709 , 10 , 40.3205 , 0.579372 , 0.999173 , 
31 , 231.77 , 726.095 , 2.13172 , 10 , 32.0468 , 2.56197 , 10 , 40.3065 , 0.57728 , 0.999321 , 
32 , 237.76 , 727.534 , 2.08995 , 10 , 32.0857 , 2.59739 , 10 , 40.408 , 0.578147 , 0.999472 , 
