iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.461895 , 0.814635 , 
2 , 1.82 , 23.5959 , 0.20609 , 10 , 2.13794 , 0.333012 , 10 , 0.188351 , 0.548934 , 0.92896 , 
3 , 3.16 , 0.576452 , 0.333682 , 10 , 0.0214165 , 0.333691 , 10 , 0.00285965 , 0.590813 , 0.912293 , 
4 , 4.51 , 0.338378 , 0.333691 , 10 , 0.000408166 , 0.333691 , 10 , 6.05708e-05 , 0.601919 , 0.903069 , 
5 , 5.86 , 0.333796 , 0.333691 , 10 , 9.1191e-06 , 0.333691 , 10 , 1.39662e-06 , 0.609233 , 0.893386 , 
6 , 7.19 , 0.333694 , 0.333691 , 10 , 2.14587e-07 , 0.333691 , 10 , 3.35942e-08 , 0.610089 , 0.884304 , 
7 , 8.52 , 0.333691 , 0.333691 , 10 , 5.56041e-09 , 0.333691 , 10 , 1.01714e-09 , 0.6093 , 0.882093 , 
8 , 9.86 , 0.333691 , 0.333691 , 10 , 1.86706e-10 , 0.333691 , 10 , 3.44726e-11 , 0.608744 , 0.879505 , 
9 , 11.19 , 0.333691 , 0.333691 , 10 , 6.38667e-12 , 0.333691 , 10 , 1.18641e-12 , 0.608521 , 0.877798 , 
10 , 12.52 , 0.333691 , 0.333691 , 10 , 2.20873e-13 , 0.333691 , 10 , 4.11944e-14 , 0.609614 , 0.877309 , 
11 , 13.85 , 0.333691 , 0.333691 , 10 , 7.69484e-15 , 0.333691 , 10 , 1.43922e-15 , 0.609303 , 0.875902 , 
12 , 15.18 , 0.333691 , 0.333691 , 10 , 2.69491e-16 , 0.333691 , 10 , 5.05108e-17 , 0.609362 , 0.875172 , 
13 , 16.51 , 0.333691 , 0.333691 , 10 , 9.47535e-18 , 0.333691 , 10 , 1.77882e-18 , 0.609264 , 0.874525 , 
14 , 17.84 , 0.333691 , 0.333691 , 10 , 3.34161e-19 , 0.333691 , 10 , 6.28113e-20 , 0.608684 , 0.873789 , 
15 , 19.17 , 0.333691 , 0.333691 , 10 , 1.18127e-20 , 0.333691 , 10 , 2.22263e-21 , 0.608584 , 0.872989 , 
16 , 20.5 , 0.333691 , 0.333691 , 10 , 4.18379e-22 , 0.333691 , 10 , 7.87847e-23 , 0.608305 , 0.872956 , 
17 , 21.83 , 0.333691 , 0.333691 , 10 , 1.48411e-23 , 0.333691 , 10 , 2.79661e-24 , 0.608107 , 0.872783 , 
18 , 23.16 , 0.333691 , 0.333691 , 10 , 5.27137e-25 , 0.333691 , 10 , 9.93875e-26 , 0.608331 , 0.872605 , 
19 , 24.49 , 0.333691 , 0.333691 , 10 , 1.87434e-26 , 0.333691 , 10 , 3.53559e-27 , 0.607661 , 0.872479 , 
20 , 25.82 , 0.333691 , 0.333691 , 10 , 6.67065e-28 , 0.333691 , 10 , 1.2588e-28 , 0.607253 , 0.872387 , 
21 , 27.15 , 0.333691 , 0.333691 , 10 , 2.37589e-29 , 0.333691 , 10 , 4.48504e-30 , 0.607526 , 0.872364 , 
22 , 28.48 , 0.333691 , 0.333691 , 10 , 8.46787e-31 , 0.333691 , 10 , 1.59899e-31 , 0.608107 , 0.87232 , 
23 , 29.81 , 0.333691 , 0.333691 , 10 , 3.01977e-32 , 0.333691 , 10 , 5.70371e-33 , 0.608054 , 0.872127 , 
24 , 31.14 , 0.333691 , 0.333691 , 10 , 1.07744e-33 , 0.333691 , 10 , 2.03551e-34 , 0.607833 , 0.871977 , 
25 , 32.47 , 0.333691 , 0.333691 , 10 , 3.84593e-35 , 0.333691 , 10 , 7.26725e-36 , 0.607739 , 0.872067 , 
26 , 33.8 , 0.333691 , 0.333691 , 10 , 1.37334e-36 , 0.333691 , 10 , 2.59551e-37 , 0.608314 , 0.871934 , 
27 , 35.13 , 0.333691 , 0.333691 , 10 , 4.90573e-38 , 0.333691 , 10 , 9.27291e-39 , 0.60808 , 0.871705 , 
28 , 36.45 , 0.333691 , 0.333691 , 10 , 1.75291e-39 , 0.333691 , 10 , 3.31384e-40 , 0.608273 , 0.871415 , 
29 , 37.79 , 0.333691 , 0.333691 , 10 , 6.26516e-41 , 0.333691 , 10 , 1.18456e-41 , 0.608926 , 0.871263 , 
30 , 39.12 , 0.333691 , 0.333691 , 10 , 2.2398e-42 , 0.333691 , 10 , 4.23528e-43 , 0.608922 , 0.871274 , 
31 , 40.45 , 0.333691 , 0.333691 , 10 , 8.00897e-44 , 0.333691 , 10 , 1.51458e-44 , 0.609162 , 0.871154 , 
32 , 41.78 , 0.333691 , 0.333691 , 10 , 2.86436e-45 , 0.333691 , 10 , 5.41729e-46 , 0.609213 , 0.870651 , 
