iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.461104 , 0.816695 , 
2 , 3.73 , 513.47 , 0.797095 , 10 , 20.2246 , 8.7031 , 10 , 30.2522 , 0.53649 , 0.999552 , 
3 , 7.18 , 530.917 , 3.91078 , 10 , 24.3361 , 3.93505 , 10 , 28.3621 , 0.542431 , 0.999794 , 
4 , 10.39 , 522.959 , 3.53059 , 10 , 24.3324 , 3.65536 , 10 , 27.5979 , 0.545343 , 0.999417 , 
5 , 13.39 , 521.019 , 3.43426 , 10 , 24.4908 , 3.45817 , 10 , 27.2652 , 0.545723 , 0.999582 , 
6 , 16.35 , 519.481 , 3.36849 , 10 , 24.5628 , 3.38903 , 10 , 27.0463 , 0.544205 , 0.999781 , 
7 , 19.3 , 517.571 , 3.34704 , 10 , 24.5831 , 3.36769 , 10 , 26.8372 , 0.54628 , 0.999595 , 
8 , 22.19 , 516.932 , 3.36292 , 10 , 24.6541 , 3.35617 , 10 , 26.7036 , 0.546414 , 0.999312 , 
9 , 25.35 , 516.669 , 3.32291 , 10 , 24.728 , 3.27761 , 10 , 26.6111 , 0.547572 , 0.999195 , 
10 , 28.5 , 516.186 , 3.34808 , 10 , 24.7419 , 3.28523 , 10 , 26.5481 , 0.548727 , 0.998575 , 
11 , 31.7 , 515.885 , 3.32441 , 10 , 24.7712 , 3.28825 , 10 , 26.4885 , 0.548714 , 0.999603 , 
12 , 34.89 , 515.099 , 3.36179 , 10 , 24.7001 , 3.32499 , 10 , 26.4773 , 0.546336 , 0.998958 , 
13 , 38.32 , 515.661 , 3.29209 , 10 , 24.7934 , 3.22002 , 10 , 26.4506 , 0.54848 , 0.998943 , 
14 , 41.48 , 515.04 , 3.34881 , 10 , 24.752 , 3.30285 , 10 , 26.4217 , 0.547734 , 0.99942 , 
15 , 44.67 , 514.687 , 3.33494 , 10 , 24.7425 , 3.28725 , 10 , 26.3974 , 0.548817 , 0.999188 , 
16 , 47.87 , 514.415 , 3.36667 , 10 , 24.7245 , 3.28129 , 10 , 26.3889 , 0.549951 , 0.99935 , 
17 , 51.03 , 514.516 , 3.35247 , 10 , 24.7385 , 3.30159 , 10 , 26.3829 , 0.551519 , 0.998777 , 
18 , 54.47 , 514.772 , 3.29463 , 10 , 24.8036 , 3.21858 , 10 , 26.3517 , 0.551924 , 0.999592 , 
19 , 57.64 , 514.797 , 3.30374 , 10 , 24.8252 , 3.26291 , 10 , 26.3283 , 0.550859 , 0.998821 , 
20 , 60.82 , 514.11 , 3.3285 , 10 , 24.7601 , 3.29675 , 10 , 26.3212 , 0.550045 , 0.999422 , 
21 , 64.21 , 514.181 , 3.34765 , 10 , 24.787 , 3.26083 , 10 , 26.305 , 0.552306 , 0.999198 , 
22 , 67.33 , 514.74 , 3.31516 , 10 , 24.875 , 3.23591 , 10 , 26.2754 , 0.550248 , 0.998752 , 
23 , 70.44 , 514.672 , 3.29171 , 10 , 24.8637 , 3.25445 , 10 , 26.2781 , 0.551163 , 0.998875 , 
24 , 73.59 , 514.375 , 3.30957 , 10 , 24.8276 , 3.26476 , 10 , 26.2835 , 0.554965 , 0.999135 , 
25 , 76.77 , 513.923 , 3.32393 , 10 , 24.7861 , 3.29227 , 10 , 26.277 , 0.552622 , 0.998939 , 
26 , 80.21 , 514.161 , 3.29169 , 10 , 24.8239 , 3.21906 , 10 , 26.2703 , 0.555241 , 0.99922 , 
27 , 83.37 , 513.767 , 3.34771 , 10 , 24.7989 , 3.29576 , 10 , 26.2482 , 0.553584 , 0.999696 , 
28 , 86.79 , 514.272 , 3.36128 , 10 , 24.7879 , 3.21404 , 10 , 26.3179 , 0.554089 , 0.999142 , 
29 , 89.91 , 513.756 , 3.36525 , 10 , 24.7347 , 3.30861 , 10 , 26.31 , 0.554729 , 0.998556 , 
30 , 93.09 , 514.021 , 3.30669 , 10 , 24.7962 , 3.27872 , 10 , 26.2781 , 0.5523 , 0.998791 , 
31 , 96.25 , 513.957 , 3.26822 , 10 , 24.8614 , 3.2745 , 10 , 26.2069 , 0.551545 , 0.999691 , 
32 , 99.7 , 513.98 , 3.35963 , 10 , 24.8115 , 3.233 , 10 , 26.2631 , 0.551359 , 0.999125 , 
