movielens_rank
seed;N=10; N=20; n=50
0;0.546110;0.546110;0.546110
1;0.545773;0.545773;0.545773
2;0.548243;0.548243;0.548243
3;0.547652;0.547652;0.547652
4;0.557540;0.557540;0.557540
5;0.556388;0.556388;0.556388
6;0.567588;0.567588;0.567588
7;0.550436;0.550436;0.550436
8;0.551359;0.551359;0.551359
9;0.551554;0.551554;0.551554

mean;0.5522643;0.5911729;0.6522313000000001
std dev;0.006681458740424877;0.0059892404165024825;0.003460087636976204
