iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.51166 , 0.615099 , 
2 , 5.4 , 39.9438 , 0.511147 , 10 , 3.40395 , 0.718164 , 10 , 0.518613 , 0.612497 , 0.840751 , 
3 , 8.14 , 2.41183 , 0.721389 , 10 , 0.128714 , 0.721585 , 10 , 0.0403105 , 0.646693 , 0.748033 , 
4 , 10.87 , 0.910332 , 0.721604 , 10 , 0.0138708 , 0.721606 , 10 , 0.00500178 , 0.638851 , 0.721308 , 
5 , 13.66 , 0.746911 , 0.721606 , 10 , 0.00184695 , 0.721606 , 10 , 0.000683488 , 0.631916 , 0.70888 , 
6 , 16.32 , 0.725115 , 0.721606 , 10 , 0.000254795 , 0.721606 , 10 , 9.60783e-05 , 0.627918 , 0.702586 , 
7 , 18.74 , 0.722102 , 0.721606 , 10 , 3.60102e-05 , 0.721606 , 10 , 1.36022e-05 , 0.630481 , 0.704907 , 
8 , 21.16 , 0.721677 , 0.721606 , 10 , 5.14918e-06 , 0.721606 , 10 , 1.93672e-06 , 0.627079 , 0.700296 , 
9 , 23.7 , 0.721616 , 0.721606 , 10 , 7.27528e-07 , 0.721606 , 10 , 2.75651e-07 , 0.631018 , 0.704302 , 
10 , 26.09 , 0.721608 , 0.721606 , 10 , 1.04038e-07 , 0.721606 , 10 , 4.00929e-08 , 0.628368 , 0.701894 , 
11 , 28.48 , 0.721606 , 0.721606 , 10 , 1.57535e-08 , 0.721606 , 10 , 6.4539e-09 , 0.62813 , 0.708611 , 
12 , 30.86 , 0.721606 , 0.721606 , 10 , 2.68815e-09 , 0.721606 , 10 , 1.12697e-09 , 0.627527 , 0.708273 , 
13 , 33.18 , 0.721606 , 0.721606 , 10 , 4.72479e-10 , 0.721606 , 10 , 1.98386e-10 , 0.629717 , 0.707888 , 
14 , 35.82 , 0.721606 , 0.721606 , 10 , 8.31768e-11 , 0.721606 , 10 , 3.49246e-11 , 0.630496 , 0.704162 , 
15 , 38.67 , 0.721606 , 0.721606 , 10 , 1.45948e-11 , 0.721606 , 10 , 6.11024e-12 , 0.629552 , 0.707831 , 
16 , 41.23 , 0.721606 , 0.721606 , 10 , 2.55972e-12 , 0.721606 , 10 , 1.07445e-12 , 0.629718 , 0.704911 , 
17 , 43.61 , 0.721606 , 0.721606 , 10 , 4.49144e-13 , 0.721606 , 10 , 1.88185e-13 , 0.630748 , 0.706116 , 
18 , 45.98 , 0.721606 , 0.721606 , 10 , 7.89066e-14 , 0.721606 , 10 , 3.31487e-14 , 0.629415 , 0.704564 , 
19 , 48.34 , 0.721606 , 0.721606 , 10 , 1.3904e-14 , 0.721606 , 10 , 5.84111e-15 , 0.630806 , 0.706407 , 
20 , 50.71 , 0.721606 , 0.721606 , 10 , 2.44756e-15 , 0.721606 , 10 , 1.02706e-15 , 0.628892 , 0.704201 , 
21 , 53.08 , 0.721606 , 0.721606 , 10 , 4.30563e-16 , 0.721606 , 10 , 1.80808e-16 , 0.630714 , 0.707053 , 
22 , 55.46 , 0.721606 , 0.721606 , 10 , 7.5781e-17 , 0.721606 , 10 , 3.18209e-17 , 0.629054 , 0.704842 , 
23 , 57.86 , 0.721606 , 0.721606 , 10 , 1.33454e-17 , 0.721606 , 10 , 5.60596e-18 , 0.631484 , 0.707607 , 
24 , 60.21 , 0.721606 , 0.721606 , 10 , 2.35051e-18 , 0.721606 , 10 , 9.87102e-19 , 0.630552 , 0.706684 , 
25 , 62.55 , 0.721606 , 0.721606 , 10 , 4.1257e-19 , 0.721606 , 10 , 1.72764e-19 , 0.630782 , 0.706715 , 
26 , 65.2 , 0.721606 , 0.721606 , 10 , 7.24189e-20 , 0.721606 , 10 , 3.04213e-20 , 0.629925 , 0.706026 , 
27 , 67.59 , 0.721606 , 0.721606 , 10 , 1.27532e-20 , 0.721606 , 10 , 5.35604e-21 , 0.631312 , 0.708478 , 
28 , 69.98 , 0.721606 , 0.721606 , 10 , 2.24512e-21 , 0.721606 , 10 , 9.42686e-22 , 0.630034 , 0.70648 , 
29 , 72.38 , 0.721606 , 0.721606 , 10 , 3.94988e-22 , 0.721606 , 10 , 1.65755e-22 , 0.630895 , 0.7074 , 
30 , 74.78 , 0.721606 , 0.721606 , 10 , 6.94742e-23 , 0.721606 , 10 , 2.91684e-23 , 0.629757 , 0.705979 , 
31 , 77.16 , 0.721606 , 0.721606 , 10 , 1.22034e-23 , 0.721606 , 10 , 5.11434e-24 , 0.631273 , 0.70802 , 
32 , 79.7 , 0.721606 , 0.721606 , 10 , 2.1405e-24 , 0.721606 , 10 , 8.97457e-25 , 0.629868 , 0.705326 , 
