movielens_ndcg
seed;N=10; N=20; n=50
0;0.609213;0.609213;0.609213
1;0.568704;0.568704;0.568704
2;0.594044;0.594044;0.594044
3;0.596249;0.596249;0.596249
4;0.602554;0.602554;0.602554
5;0.576469;0.576469;0.576469
6;0.596832;0.596832;0.596832
7;0.594707;0.594707;0.594707
8;0.584060;0.584060;0.584060
9;0.573811;0.573811;0.573811

mean;0.5896643;0.6051042;0.6101239
std dev;0.013265771528008978;0.006725081177535642;0.002361859693358426
