iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.496414 , 0.489942 , 
2 , 79.72 , 1198.47 , 5.52975 , 10 , 73.1344 , 3.77931 , 10 , 46.3344 , 0.566512 , 1 , 
3 , 154.42 , 1096.86 , 3.73875 , 10 , 64.3734 , 2.56827 , 10 , 45.0562 , 0.597286 , 1 , 
4 , 228.75 , 1062.05 , 2.60999 , 10 , 61.0386 , 2.42525 , 10 , 44.9244 , 0.614122 , 0.999996 , 
5 , 304.27 , 1042.74 , 2.24116 , 10 , 58.9822 , 2.59266 , 10 , 45.033 , 0.626203 , 1 , 
6 , 379.6 , 1030.58 , 2.26189 , 10 , 57.4218 , 2.38936 , 10 , 45.3977 , 0.633903 , 1 , 
7 , 458.18 , 1021.87 , 2.12614 , 10 , 56.0704 , 2.78401 , 10 , 45.8379 , 0.636679 , 1 , 
8 , 536.55 , 1015.48 , 2.01499 , 10 , 54.9116 , 2.83884 , 10 , 46.3522 , 0.638291 , 1 , 
9 , 610.11 , 1010.08 , 1.89346 , 10 , 53.9439 , 2.81745 , 10 , 46.7826 , 0.640544 , 1 , 
10 , 684.53 , 1007.07 , 1.93895 , 10 , 53.1289 , 2.85784 , 10 , 47.2927 , 0.641004 , 1 , 
11 , 760.42 , 1003.15 , 1.80698 , 10 , 52.3478 , 2.2317 , 10 , 47.7437 , 0.643605 , 1 , 
12 , 835.07 , 1001.37 , 1.8438 , 10 , 51.6356 , 2.2841 , 10 , 48.2727 , 0.643287 , 1 , 
13 , 911.21 , 999.333 , 1.72627 , 10 , 50.9483 , 1.89791 , 10 , 48.7951 , 0.643706 , 1 , 
14 , 986.94 , 997.952 , 1.6573 , 10 , 50.3046 , 2.01909 , 10 , 49.2887 , 0.645246 , 1 , 
15 , 1062.79 , 996.757 , 1.62802 , 10 , 49.6905 , 1.98752 , 10 , 49.7864 , 0.644764 , 1 , 
16 , 1137.6 , 995.935 , 1.58563 , 10 , 49.1187 , 2.01633 , 10 , 50.2731 , 0.64555 , 1 , 
