movielens_regression
seed;N=10; N=20; n=50
0;0.636796;0.636796;0.636796
1;0.672805;0.672805;0.672805
2;0.632039;0.632039;0.632039
3;0.678268;0.678268;0.678268
4;0.650421;0.650421;0.650421
5;0.639265;0.639265;0.639265
6;0.666188;0.666188;0.666188
7;0.664293;0.664293;0.664293
8;0.642947;0.642947;0.642947
9;0.665180;0.665180;0.665180

mean;0.6548202;0.6823911;0.7168561
std dev;0.016484617656739524;0.005441870500521346;0.004976137691244291
