iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.53746 , 0.811796 , 
2 , 2.92 , 33.5027 , 0.211995 , 10 , 2.9727 , 0.341099 , 10 , 0.343455 , 0.604681 , 0.931224 , 
3 , 4.97 , 1.0334 , 0.342284 , 10 , 0.0576353 , 0.342317 , 10 , 0.011473 , 0.640286 , 0.901534 , 
4 , 7 , 0.373578 , 0.342318 , 10 , 0.00254971 , 0.342318 , 10 , 0.000576285 , 0.647222 , 0.887076 , 
5 , 9.04 , 0.344012 , 0.342318 , 10 , 0.000136923 , 0.342318 , 10 , 3.24288e-05 , 0.645501 , 0.877825 , 
6 , 11.07 , 0.342416 , 0.342318 , 10 , 7.91271e-06 , 0.342318 , 10 , 1.91084e-06 , 0.645529 , 0.871942 , 
7 , 13.09 , 0.342324 , 0.342318 , 10 , 4.74909e-07 , 0.342318 , 10 , 1.15375e-07 , 0.643913 , 0.869115 , 
8 , 15.1 , 0.342318 , 0.342318 , 10 , 2.90451e-08 , 0.342318 , 10 , 7.67714e-09 , 0.640451 , 0.863638 , 
9 , 17.11 , 0.342318 , 0.342318 , 10 , 2.25456e-09 , 0.342318 , 10 , 6.50945e-10 , 0.635508 , 0.862674 , 
10 , 19.11 , 0.342318 , 0.342318 , 10 , 1.89666e-10 , 0.342318 , 10 , 5.53399e-11 , 0.634572 , 0.86127 , 
11 , 21.09 , 0.342318 , 0.342318 , 10 , 1.61617e-11 , 0.342318 , 10 , 4.72311e-12 , 0.634099 , 0.861339 , 
12 , 23.09 , 0.342318 , 0.342318 , 10 , 1.38099e-12 , 0.342318 , 10 , 4.03947e-13 , 0.633824 , 0.861193 , 
13 , 25.09 , 0.342318 , 0.342318 , 10 , 1.18192e-13 , 0.342318 , 10 , 3.45899e-14 , 0.63399 , 0.86096 , 
14 , 27.1 , 0.342318 , 0.342318 , 10 , 1.01249e-14 , 0.342318 , 10 , 2.96408e-15 , 0.633771 , 0.860848 , 
15 , 29.11 , 0.342318 , 0.342318 , 10 , 8.67836e-16 , 0.342318 , 10 , 2.5411e-16 , 0.633665 , 0.860702 , 
16 , 31.12 , 0.342318 , 0.342318 , 10 , 7.44105e-17 , 0.342318 , 10 , 2.17906e-17 , 0.633778 , 0.860641 , 
17 , 33.13 , 0.342318 , 0.342318 , 10 , 6.38149e-18 , 0.342318 , 10 , 1.86891e-18 , 0.633733 , 0.860547 , 
18 , 35.14 , 0.342318 , 0.342318 , 10 , 5.47351e-19 , 0.342318 , 10 , 1.60307e-19 , 0.633784 , 0.860545 , 
19 , 37.14 , 0.342318 , 0.342318 , 10 , 4.6951e-20 , 0.342318 , 10 , 1.37513e-20 , 0.633777 , 0.860557 , 
20 , 39.15 , 0.342318 , 0.342318 , 10 , 4.02759e-21 , 0.342318 , 10 , 1.17964e-21 , 0.63384 , 0.860537 , 
21 , 41.12 , 0.342318 , 0.342318 , 10 , 3.45508e-22 , 0.342318 , 10 , 1.01197e-22 , 0.633836 , 0.860536 , 
22 , 43.07 , 0.342318 , 0.342318 , 10 , 2.96402e-23 , 0.342318 , 10 , 8.68148e-24 , 0.633831 , 0.860528 , 
23 , 45.03 , 0.342318 , 0.342318 , 10 , 2.54277e-24 , 0.342318 , 10 , 7.44771e-25 , 0.633789 , 0.860525 , 
24 , 46.98 , 0.342318 , 0.342318 , 10 , 2.18142e-25 , 0.342318 , 10 , 6.38932e-26 , 0.633789 , 0.86052 , 
25 , 48.93 , 0.342318 , 0.342318 , 10 , 1.87142e-26 , 0.342318 , 10 , 5.48135e-27 , 0.633791 , 0.86052 , 
26 , 50.88 , 0.342318 , 0.342318 , 10 , 1.60548e-27 , 0.342318 , 10 , 4.70242e-28 , 0.633791 , 0.86052 , 
27 , 52.87 , 0.342318 , 0.342318 , 10 , 1.37733e-28 , 0.342318 , 10 , 4.03419e-29 , 0.633791 , 0.86052 , 
28 , 54.87 , 0.342318 , 0.342318 , 10 , 1.18161e-29 , 0.342318 , 10 , 3.46092e-30 , 0.633791 , 0.86052 , 
29 , 56.82 , 0.342318 , 0.342318 , 10 , 1.0137e-30 , 0.342318 , 10 , 2.96912e-31 , 0.633791 , 0.86052 , 
30 , 58.77 , 0.342318 , 0.342318 , 10 , 8.69651e-32 , 0.342318 , 10 , 2.5472e-32 , 0.633791 , 0.86052 , 
31 , 60.73 , 0.342318 , 0.342318 , 10 , 7.46072e-33 , 0.342318 , 10 , 2.18524e-33 , 0.633791 , 0.86052 , 
32 , 62.74 , 0.342318 , 0.342318 , 10 , 6.40054e-34 , 0.342318 , 10 , 1.87471e-34 , 0.633791 , 0.86052 , 
