netflix_regression
seed;N=10; N=20; n=50
0;0.650515;0.650515; 
1;0.672415;0.672415; 
2;0.672670;0.672670; 
3;0.666046;0.666046; 
4;0.688384;0.688384; 
5; ; ; 
6; ; ; 
7; ; ; 
8; ; ; 
9; ; ; 

safeMean;0.670006;0.6308338;
std dev;0.01365862128840244;0.01599551372104065;
