netflix_NDCG
seed;N=10; N=20; n=50
0;0.613005;0.613005; 
1;0.614703;0.614703; 
2;0.612238;0.612238; 
3;0.603892;0.603892; 
4;0.604683;0.604683; 
5; ; ; 
6; ; ; 
7; ; ; 
8; ; ; 
9; ; ; 

safeMean;0.6097042;0.6006816;
std dev;0.005032334021107908;0.022188964076765703;
