iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.533204 , 0.825893 , 
2 , 8618.25 , 10486.2 , 1.6608 , 10 , 645.1 , 11.17 , 10 , 402.4 , 0.555563 , 0.976135 , 
3 , 17003.4 , 11099 , 3.20491 , 10 , 639.282 , 2.60765 , 10 , 470.362 , 0.566734 , 0.987486 , 
4 , 25567.5 , 11385.9 , 1.34599 , 10 , 613.293 , 1.51365 , 10 , 525.144 , 0.595085 , 0.993058 , 
5 , 34425.1 , 10943.8 , 0.842691 , 10 , 576.547 , 2.49763 , 10 , 517.586 , 0.620228 , 0.990906 , 
6 , 43364.8 , 11003.8 , 0.924588 , 10 , 566.941 , 1.65566 , 10 , 533.274 , 0.646029 , 0.994921 , 
7 , 52144 , 10835.9 , 0.843216 , 10 , 554.128 , 1.86371 , 10 , 529.277 , 0.667341 , 0.994071 , 
8 , 61021.3 , 10834.3 , 0.860718 , 10 , 553.836 , 1.77291 , 10 , 529.417 , 0.666892 , 0.995391 , 
9 , 69618.5 , 10853.9 , 0.890574 , 10 , 549.43 , 1.20926 , 10 , 535.836 , 0.67267 , 0.995606 , 
