movielens_RANK
seed;N=10; N=20; n=50
0;0.607719;0.607719;0.607719
1;0.605305;0.605305;0.605305
2;0.604284;0.604284;0.604284
3;0.607971;0.607971;0.607971
4;0.606360;0.606360;0.606360
5;0.605225;0.605225;0.605225
6;0.604555;0.604555;0.604555
7;0.605145;0.605145;0.605145
8;0.606749;0.606749;0.606749
9;0.603265;0.603265;0.603265

mean;0.605658;0.626932;0.645139
std dev;0.001516;0.005312;0.002664
