iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.519512 , 0.605139 , 
2 , 16.76 , 933.593 , 1.64758 , 10 , 41.2613 , 3.1407 , 10 , 51.784 , 0.571586 , 0.999807 , 
3 , 31.7 , 885.685 , 2.09814 , 10 , 38.8286 , 2.18523 , 10 , 49.5214 , 0.594276 , 0.999883 , 
4 , 45.89 , 869.524 , 1.90776 , 10 , 38.096 , 2.01482 , 10 , 48.6549 , 0.606421 , 0.999842 , 
5 , 60.62 , 860.85 , 1.83326 , 10 , 37.7352 , 1.89199 , 10 , 48.1607 , 0.611456 , 0.999824 , 
6 , 74.65 , 855.998 , 1.79368 , 10 , 37.5409 , 1.88482 , 10 , 47.8704 , 0.613664 , 0.999999 , 
7 , 89.21 , 852.619 , 1.75739 , 10 , 37.4094 , 1.80211 , 10 , 47.6723 , 0.613327 , 0.999999 , 
8 , 103.69 , 850.483 , 1.77983 , 10 , 37.3253 , 1.7635 , 10 , 47.5467 , 0.61682 , 1 , 
9 , 117.44 , 848.522 , 1.77964 , 10 , 37.2395 , 1.80003 , 10 , 47.4328 , 0.61697 , 0.999962 , 
10 , 128.45 , 846.59 , 1.72473 , 10 , 37.1809 , 2.08094 , 10 , 47.27 , 0.616341 , 0.999865 , 
11 , 137.98 , 844.885 , 1.69218 , 10 , 37.1995 , 2.33685 , 10 , 47.0554 , 0.616218 , 0.99996 , 
12 , 147.25 , 843.821 , 1.7058 , 10 , 37.2869 , 2.30187 , 10 , 46.8651 , 0.616564 , 0.999877 , 
13 , 156.94 , 843.174 , 1.69742 , 10 , 37.4009 , 2.13962 , 10 , 46.7025 , 0.616825 , 0.999719 , 
14 , 166.08 , 842.548 , 1.70432 , 10 , 37.4486 , 2.26327 , 10 , 46.5798 , 0.618179 , 0.999712 , 
15 , 175.76 , 841.63 , 1.6919 , 10 , 37.5246 , 2.23053 , 10 , 46.4153 , 0.619381 , 0.999757 , 
16 , 184.96 , 841.408 , 1.6953 , 10 , 37.6294 , 2.21831 , 10 , 46.2896 , 0.619177 , 0.999995 , 
17 , 194.11 , 840.472 , 1.69144 , 10 , 37.7044 , 2.28489 , 10 , 46.1143 , 0.618219 , 0.999881 , 
18 , 203.78 , 839.483 , 1.66386 , 10 , 37.8528 , 2.27089 , 10 , 45.8683 , 0.618277 , 0.999802 , 
19 , 213.43 , 839.018 , 1.66717 , 10 , 38.0313 , 2.33683 , 10 , 45.6369 , 0.618576 , 0.999865 , 
20 , 223.56 , 840.285 , 1.69336 , 10 , 38.1992 , 1.88422 , 10 , 45.6409 , 0.617824 , 1 , 
21 , 234.54 , 840.36 , 1.71577 , 10 , 38.171 , 1.82482 , 10 , 45.6825 , 0.6186 , 1 , 
22 , 247.13 , 839.503 , 1.75067 , 10 , 38.0842 , 1.69082 , 10 , 45.697 , 0.620132 , 0.999884 , 
23 , 260.16 , 839.434 , 1.83019 , 10 , 38.073 , 1.69167 , 10 , 45.7013 , 0.618216 , 0.999962 , 
24 , 274.45 , 838.485 , 1.77131 , 10 , 38.003 , 1.68753 , 10 , 45.6767 , 0.618857 , 0.999962 , 
25 , 287.99 , 838.243 , 1.81433 , 10 , 38.0378 , 1.67485 , 10 , 45.619 , 0.618366 , 0.999999 , 
26 , 303.35 , 838.795 , 1.83017 , 10 , 38.0638 , 1.65787 , 10 , 45.6499 , 0.61812 , 0.999724 , 
27 , 317.74 , 838.03 , 1.74215 , 10 , 38 , 1.66586 , 10 , 45.6364 , 0.618622 , 0.999802 , 
28 , 331.87 , 838.166 , 1.77104 , 10 , 38.013 , 1.69604 , 10 , 45.6339 , 0.61999 , 1 , 
29 , 342.64 , 839.526 , 1.68145 , 10 , 37.9873 , 1.86812 , 10 , 45.7785 , 0.621061 , 0.999999 , 
30 , 351.5 , 837.751 , 1.62749 , 10 , 37.8697 , 2.3297 , 10 , 45.6724 , 0.620595 , 0.999999 , 
31 , 360.93 , 837.482 , 1.60112 , 10 , 38.032 , 2.32706 , 10 , 45.4836 , 0.619771 , 0.99996 , 
32 , 371.87 , 837.323 , 1.61794 , 10 , 38.1833 , 2.28191 , 10 , 45.3208 , 0.619255 , 0.999876 , 
