iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.497065 , 0.825218 , 
2 , 1564.07 , 831.724 , 0.215196 , 10 , 49.1346 , 0.283571 , 10 , 34.0094 , 0.52175 , 0.928259 , 
3 , 2870.65 , 633.359 , 0.287034 , 10 , 32.5332 , 0.288213 , 10 , 30.7738 , 0.559238 , 0.887499 , 
4 , 4198.77 , 578.542 , 0.289871 , 10 , 29.1799 , 0.291072 , 10 , 28.6451 , 0.568254 , 0.869347 , 
5 , 5525.35 , 635.825 , 0.287686 , 10 , 31.1697 , 0.284389 , 10 , 32.3843 , 0.594098 , 0.862972 , 
6 , 6860.34 , 608.393 , 0.283329 , 10 , 30.7868 , 0.285414 , 10 , 30.0239 , 0.581042 , 0.859857 , 
7 , 8196.57 , 647.64 , 0.283908 , 10 , 31.72 , 0.282293 , 10 , 33.0158 , 0.59668 , 0.859107 , 
