iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.51166 , 0.615099 , 
2 , 16.65 , 934.359 , 1.63769 , 10 , 41.2238 , 3.08446 , 10 , 51.9037 , 0.571001 , 0.999852 , 
3 , 32.03 , 886.016 , 2.11089 , 10 , 38.7123 , 2.12643 , 10 , 49.6767 , 0.595883 , 0.999688 , 
4 , 47.28 , 869.528 , 1.91402 , 10 , 37.9579 , 1.95983 , 10 , 48.7989 , 0.604156 , 0.999994 , 
5 , 62.44 , 861.243 , 1.82942 , 10 , 37.6041 , 1.91693 , 10 , 48.3285 , 0.610759 , 0.999795 , 
6 , 75.65 , 856.002 , 1.79153 , 10 , 37.3922 , 1.89743 , 10 , 48.0183 , 0.61346 , 0.999747 , 
7 , 89.65 , 852.829 , 1.77334 , 10 , 37.2464 , 1.79724 , 10 , 47.8568 , 0.616436 , 0.999637 , 
8 , 104.16 , 849.504 , 1.79328 , 10 , 37.1205 , 1.83139 , 10 , 47.6468 , 0.618779 , 0.999576 , 
9 , 117.19 , 847.449 , 1.77895 , 10 , 37.0874 , 1.86265 , 10 , 47.4712 , 0.620358 , 0.999878 , 
10 , 128.48 , 846.651 , 1.75561 , 10 , 37.075 , 2.05955 , 10 , 47.3842 , 0.621186 , 0.999876 , 
11 , 138.07 , 844.854 , 1.71435 , 10 , 37.0217 , 2.30959 , 10 , 47.2328 , 0.621419 , 0.999685 , 
12 , 147.36 , 843.998 , 1.71199 , 10 , 37.0653 , 2.30773 , 10 , 47.1037 , 0.62145 , 0.999945 , 
13 , 157.12 , 842.966 , 1.70825 , 10 , 37.1116 , 2.23838 , 10 , 46.9612 , 0.622044 , 0.999768 , 
14 , 166.32 , 841.775 , 1.71938 , 10 , 37.1481 , 2.34433 , 10 , 46.7949 , 0.623293 , 0.999722 , 
15 , 176.14 , 841.573 , 1.71894 , 10 , 37.2654 , 2.2037 , 10 , 46.6714 , 0.621752 , 0.999795 , 
16 , 185.58 , 840.3 , 1.71092 , 10 , 37.3248 , 2.36912 , 10 , 46.4683 , 0.621806 , 0.999847 , 
17 , 195.47 , 839.214 , 1.72447 , 10 , 37.4523 , 2.39787 , 10 , 46.2293 , 0.621781 , 0.999713 , 
18 , 205.85 , 839.702 , 1.7223 , 10 , 37.6496 , 2.14495 , 10 , 46.1062 , 0.621136 , 0.999688 , 
19 , 215.21 , 839.29 , 1.74401 , 10 , 37.6828 , 2.27108 , 10 , 46.0191 , 0.621141 , 0.999971 , 
20 , 225.51 , 838.744 , 1.71382 , 10 , 37.7872 , 2.15628 , 10 , 45.8716 , 0.620955 , 0.999735 , 
21 , 235.26 , 838.184 , 1.73411 , 10 , 37.8465 , 2.24284 , 10 , 45.7475 , 0.619721 , 0.999698 , 
22 , 245.03 , 838.228 , 1.71676 , 10 , 37.9762 , 2.21734 , 10 , 45.6249 , 0.619808 , 0.999962 , 
23 , 255.34 , 841.626 , 1.71446 , 10 , 38.0726 , 2.00611 , 10 , 45.8894 , 0.619955 , 0.999869 , 
24 , 265.45 , 837.963 , 1.71193 , 10 , 37.8569 , 2.12721 , 10 , 45.7267 , 0.621928 , 0.999349 , 
25 , 274.7 , 838.504 , 1.72033 , 10 , 37.9437 , 2.31121 , 10 , 45.6756 , 0.621414 , 0.999973 , 
26 , 285.22 , 838.735 , 1.70085 , 10 , 38.0277 , 1.94952 , 10 , 45.6508 , 0.621218 , 0.999672 , 
27 , 296.01 , 839.254 , 1.73373 , 10 , 38.0278 , 1.86829 , 10 , 45.7108 , 0.621326 , 0.999958 , 
28 , 306.4 , 837.399 , 1.73303 , 10 , 37.9479 , 2.17861 , 10 , 45.5741 , 0.621729 , 0.999408 , 
29 , 316.08 , 837.338 , 1.71985 , 10 , 38.0472 , 2.28897 , 10 , 45.4577 , 0.620982 , 0.999664 , 
30 , 325.76 , 837.172 , 1.6935 , 10 , 38.1851 , 2.19264 , 10 , 45.3129 , 0.619551 , 0.999933 , 
31 , 335.42 , 836.994 , 1.71032 , 10 , 38.262 , 2.2405 , 10 , 45.2134 , 0.620698 , 0.999786 , 
32 , 346.11 , 836.536 , 1.72106 , 10 , 38.3594 , 2.05424 , 10 , 45.0887 , 0.621225 , 0.999803 , 
