iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.536469 , 0.808427 , 
2 , 6.15 , 674.932 , 0.89877 , 10 , 27.1748 , 6.12979 , 10 , 39.7054 , 0.582903 , 0.999171 , 
3 , 11.76 , 682.504 , 2.66804 , 10 , 30.5889 , 2.76701 , 10 , 37.3848 , 0.594354 , 0.999485 , 
4 , 17.3 , 673.395 , 2.3932 , 10 , 30.6712 , 2.53094 , 10 , 36.4153 , 0.599839 , 0.999494 , 
5 , 22.39 , 668.684 , 2.3097 , 10 , 30.7985 , 2.44665 , 10 , 35.8252 , 0.601795 , 0.998786 , 
6 , 27.05 , 665.575 , 2.29832 , 10 , 30.8796 , 2.37887 , 10 , 35.44 , 0.603544 , 0.999074 , 
7 , 31.67 , 663.637 , 2.29764 , 10 , 30.9956 , 2.35367 , 10 , 35.1327 , 0.60648 , 0.998882 , 
8 , 36.62 , 662.468 , 2.28435 , 10 , 31.0948 , 2.3142 , 10 , 34.9206 , 0.606801 , 0.99952 , 
9 , 41.61 , 661.775 , 2.2932 , 10 , 31.1568 , 2.29526 , 10 , 34.7912 , 0.607859 , 0.998521 , 
10 , 46.52 , 660.654 , 2.28196 , 10 , 31.1794 , 2.31243 , 10 , 34.6548 , 0.60605 , 0.99926 , 
11 , 51.81 , 661.21 , 2.2668 , 10 , 31.2716 , 2.23261 , 10 , 34.6262 , 0.606735 , 0.998748 , 
12 , 57.12 , 660.183 , 2.3004 , 10 , 31.1831 , 2.2754 , 10 , 34.6077 , 0.605337 , 0.998577 , 
13 , 62.09 , 659.242 , 2.27634 , 10 , 31.1593 , 2.3054 , 10 , 34.5343 , 0.605959 , 0.998506 , 
14 , 67.08 , 659.11 , 2.25097 , 10 , 31.2449 , 2.27668 , 10 , 34.4384 , 0.606019 , 0.99881 , 
15 , 72.45 , 659.119 , 2.28749 , 10 , 31.2644 , 2.24276 , 10 , 34.4232 , 0.603831 , 0.999354 , 
16 , 77.8 , 659.074 , 2.28831 , 10 , 31.2882 , 2.25048 , 10 , 34.3942 , 0.605289 , 0.998775 , 
17 , 83.17 , 658.848 , 2.29727 , 10 , 31.2657 , 2.24069 , 10 , 34.395 , 0.606059 , 0.99881 , 
18 , 88.51 , 658.657 , 2.28648 , 10 , 31.2794 , 2.26396 , 10 , 34.3599 , 0.605789 , 0.99855 , 
19 , 93.49 , 658.2 , 2.28619 , 10 , 31.2684 , 2.30822 , 10 , 34.3208 , 0.605204 , 0.998727 , 
20 , 98.11 , 657.378 , 2.25853 , 10 , 31.3061 , 2.40696 , 10 , 34.191 , 0.603286 , 0.998229 , 
21 , 102.76 , 656.56 , 2.25395 , 10 , 31.402 , 2.41035 , 10 , 34.013 , 0.605342 , 0.998184 , 
22 , 107.35 , 657.287 , 2.27136 , 10 , 31.5311 , 2.37977 , 10 , 33.9597 , 0.604846 , 0.998307 , 
23 , 111.97 , 657.184 , 2.26323 , 10 , 31.5728 , 2.35933 , 10 , 33.9097 , 0.605723 , 0.998929 , 
24 , 116.56 , 656.763 , 2.27575 , 10 , 31.6053 , 2.39593 , 10 , 33.8314 , 0.60449 , 0.998104 , 
25 , 121.55 , 657.798 , 2.27576 , 10 , 31.6657 , 2.28999 , 10 , 33.8851 , 0.604344 , 0.99907 , 
26 , 126.16 , 656.724 , 2.27393 , 10 , 31.6232 , 2.39777 , 10 , 33.8095 , 0.604491 , 0.998358 , 
27 , 130.91 , 656.972 , 2.25515 , 10 , 31.7063 , 2.37664 , 10 , 33.7533 , 0.60476 , 0.998434 , 
28 , 135.63 , 656.756 , 2.27494 , 10 , 31.7187 , 2.36191 , 10 , 33.7207 , 0.60441 , 0.998888 , 
29 , 140.35 , 657.316 , 2.27465 , 10 , 31.7462 , 2.33107 , 10 , 33.7524 , 0.603141 , 0.998719 , 
30 , 145.01 , 656.572 , 2.27666 , 10 , 31.7147 , 2.38124 , 10 , 33.7044 , 0.60549 , 0.997893 , 
31 , 149.95 , 657.06 , 2.29198 , 10 , 31.7494 , 2.34024 , 10 , 33.7226 , 0.606065 , 0.998456 , 
32 , 154.52 , 656.847 , 2.27467 , 10 , 31.7478 , 2.34744 , 10 , 33.7021 , 0.605305 , 0.99824 , 
