iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.530095 , 0.628653 , 
2 , 14523.2 , 11508.4 , 3.85067 , 10 , 759.47 , 13.275 , 10 , 390.039 , 0.541709 , 0.943408 , 
3 , 29131 , 12066.4 , 7.21604 , 10 , 749.13 , 7.70214 , 10 , 456.74 , 0.583502 , 0.959715 , 
4 , 44301.2 , 12124.1 , 2.94211 , 10 , 714.181 , 8.03349 , 10 , 497.427 , 0.595256 , 0.977282 , 
5 , 59729.4 , 12076.2 , 1.95749 , 10 , 669.484 , 4.33895 , 10 , 537.705 , 0.630142 , 0.98151 , 
