iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.533192 , 0.826008 , 
2 , 1905.35 , 1012.42 , 0.214272 , 10 , 58.8434 , 0.276233 , 10 , 42.3712 , 0.556109 , 0.928723 , 
3 , 3377.43 , 756.927 , 0.276394 , 10 , 39.1913 , 0.281099 , 10 , 36.4733 , 0.570265 , 0.891597 , 
4 , 4845.81 , 867.748 , 0.277538 , 10 , 40.9651 , 0.271692 , 10 , 45.7826 , 0.600188 , 0.874491 , 
5 , 6343.25 , 780.027 , 0.268449 , 10 , 40.0478 , 0.275278 , 10 , 37.9273 , 0.577409 , 0.870243 , 
6 , 7926.02 , 832.1 , 0.271368 , 10 , 42.2135 , 0.267344 , 10 , 40.9698 , 0.603469 , 0.865986 , 
7 , 9396.3 , 827.616 , 0.267141 , 10 , 41.5171 , 0.268279 , 10 , 41.2177 , 0.615281 , 0.865413 , 
8 , 10866.5 , 821.389 , 0.267473 , 10 , 41.2796 , 0.270506 , 10 , 40.8323 , 0.606881 , 0.864962 , 
9 , 12336.4 , 841.859 , 0.269192 , 10 , 41.2048 , 0.270795 , 10 , 42.954 , 0.613005 , 0.863567 , 
