iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.49131 , 0.493433 , 
2 , 81.47 , 1199.43 , 5.57716 , 10 , 73.2223 , 3.28963 , 10 , 46.3919 , 0.575289 , 1 , 
3 , 159.53 , 1100.57 , 3.44735 , 10 , 64.9051 , 2.27779 , 10 , 44.9238 , 0.59887 , 1 , 
4 , 237.2 , 1066.96 , 2.33654 , 10 , 61.8098 , 2.66459 , 10 , 44.62 , 0.608742 , 1 , 
5 , 315.94 , 1047.82 , 2.06315 , 10 , 59.8782 , 2.37576 , 10 , 44.6659 , 0.61734 , 1 , 
6 , 393.04 , 1035.7 , 1.9465 , 10 , 58.4604 , 2.43736 , 10 , 44.8655 , 0.626773 , 1 , 
7 , 470.23 , 1026.64 , 1.89752 , 10 , 57.3009 , 2.12385 , 10 , 45.1504 , 0.631648 , 1 , 
8 , 546.93 , 1020.28 , 1.84847 , 10 , 56.3023 , 2.34704 , 10 , 45.4907 , 0.635476 , 1 , 
9 , 623.12 , 1014.86 , 1.79967 , 10 , 55.3956 , 2.46075 , 10 , 45.8442 , 0.637759 , 1 , 
10 , 699.81 , 1009.76 , 1.78226 , 10 , 54.5099 , 1.9077 , 10 , 46.2754 , 0.638093 , 1 , 
11 , 776.03 , 1006.31 , 1.70211 , 10 , 53.7179 , 2.16089 , 10 , 46.6968 , 0.641007 , 1 , 
12 , 852.26 , 1003.61 , 1.66912 , 10 , 53.0132 , 2.17823 , 10 , 47.1303 , 0.642409 , 1 , 
13 , 929.2 , 1000.66 , 1.58719 , 10 , 52.2985 , 2.1657 , 10 , 47.5504 , 0.643329 , 1 , 
14 , 1005.92 , 998.429 , 1.592 , 10 , 51.6789 , 1.85345 , 10 , 47.9787 , 0.643187 , 1 , 
15 , 1082.49 , 997.009 , 1.53741 , 10 , 51.121 , 1.79527 , 10 , 48.4004 , 0.644476 , 1 , 
16 , 1158.95 , 995.882 , 1.49778 , 10 , 50.5933 , 1.83038 , 10 , 48.8118 , 0.645122 , 1 , 
