iteration , time , objectiveFunctionValue , userLoss , userLambda , userNorm , movieLoss , movieLambda , movieNorm , test-NDCG@10 , train-NDCG@10 , 
1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.461975 , 0.810262 , 
2 , 1.91 , 24.1357 , 0.21115 , 10 , 2.18348 , 0.343406 , 10 , 0.195746 , 0.569363 , 0.930294 , 
3 , 3.32 , 0.596761 , 0.344131 , 10 , 0.0223063 , 0.344141 , 10 , 0.00295577 , 0.600265 , 0.915064 , 
4 , 4.74 , 0.348948 , 0.344141 , 10 , 0.000419032 , 0.344141 , 10 , 6.16464e-05 , 0.605528 , 0.909647 , 
5 , 6.14 , 0.344248 , 0.344141 , 10 , 9.2455e-06 , 0.344141 , 10 , 1.41378e-06 , 0.601622 , 0.901919 , 
6 , 7.55 , 0.344144 , 0.344141 , 10 , 2.16791e-07 , 0.344141 , 10 , 3.38156e-08 , 0.606007 , 0.896208 , 
7 , 8.95 , 0.344141 , 0.344141 , 10 , 5.5002e-09 , 0.344141 , 10 , 9.6381e-10 , 0.598663 , 0.888966 , 
8 , 10.34 , 0.344141 , 0.344141 , 10 , 1.69036e-10 , 0.344141 , 10 , 2.97915e-11 , 0.600752 , 0.886837 , 
9 , 11.73 , 0.344141 , 0.344141 , 10 , 5.26665e-12 , 0.344141 , 10 , 9.33325e-13 , 0.598276 , 0.884697 , 
10 , 13.13 , 0.344141 , 0.344141 , 10 , 1.65735e-13 , 0.344141 , 10 , 2.94819e-14 , 0.597416 , 0.882363 , 
11 , 14.52 , 0.344141 , 0.344141 , 10 , 5.25237e-15 , 0.344141 , 10 , 9.36988e-16 , 0.596815 , 0.880713 , 
12 , 15.93 , 0.344141 , 0.344141 , 10 , 1.67349e-16 , 0.344141 , 10 , 2.99206e-17 , 0.594064 , 0.87889 , 
13 , 17.32 , 0.344141 , 0.344141 , 10 , 5.35457e-18 , 0.344141 , 10 , 9.59063e-19 , 0.594072 , 0.877685 , 
14 , 18.72 , 0.344141 , 0.344141 , 10 , 1.71911e-19 , 0.344141 , 10 , 3.08365e-20 , 0.593271 , 0.876719 , 
15 , 20.12 , 0.344141 , 0.344141 , 10 , 5.53481e-21 , 0.344141 , 10 , 9.94021e-22 , 0.592718 , 0.876076 , 
16 , 21.51 , 0.344141 , 0.344141 , 10 , 1.78617e-22 , 0.344141 , 10 , 3.21119e-23 , 0.592835 , 0.875694 , 
17 , 22.9 , 0.344141 , 0.344141 , 10 , 5.77578e-24 , 0.344141 , 10 , 1.0393e-24 , 0.593509 , 0.875974 , 
18 , 24.3 , 0.344141 , 0.344141 , 10 , 1.87087e-25 , 0.344141 , 10 , 3.36905e-26 , 0.593962 , 0.875923 , 
19 , 25.69 , 0.344141 , 0.344141 , 10 , 6.06907e-27 , 0.344141 , 10 , 1.09365e-27 , 0.595054 , 0.875526 , 
20 , 27.08 , 0.344141 , 0.344141 , 10 , 1.97136e-28 , 0.344141 , 10 , 3.55448e-29 , 0.594747 , 0.875127 , 
21 , 28.46 , 0.344141 , 0.344141 , 10 , 6.41066e-30 , 0.344141 , 10 , 1.15648e-30 , 0.594526 , 0.874732 , 
22 , 29.84 , 0.344141 , 0.344141 , 10 , 2.08678e-31 , 0.344141 , 10 , 3.76627e-32 , 0.594322 , 0.875211 , 
23 , 31.23 , 0.344141 , 0.344141 , 10 , 6.79886e-33 , 0.344141 , 10 , 1.22757e-33 , 0.595041 , 0.875208 , 
24 , 32.59 , 0.344141 , 0.344141 , 10 , 2.21686e-34 , 0.344141 , 10 , 4.00409e-35 , 0.59615 , 0.874861 , 
25 , 33.97 , 0.344141 , 0.344141 , 10 , 7.2334e-36 , 0.344141 , 10 , 1.30692e-36 , 0.595172 , 0.874894 , 
26 , 35.34 , 0.344141 , 0.344141 , 10 , 2.36166e-37 , 0.344141 , 10 , 4.26821e-38 , 0.594432 , 0.874442 , 
27 , 36.72 , 0.344141 , 0.344141 , 10 , 7.71492e-39 , 0.344141 , 10 , 1.39467e-39 , 0.594172 , 0.874438 , 
28 , 38.11 , 0.344141 , 0.344141 , 10 , 2.5215e-40 , 0.344141 , 10 , 4.55928e-41 , 0.594045 , 0.874545 , 
29 , 39.5 , 0.344141 , 0.344141 , 10 , 8.24476e-42 , 0.344141 , 10 , 1.49108e-42 , 0.593611 , 0.874318 , 
30 , 40.9 , 0.344141 , 0.344141 , 10 , 2.69691e-43 , 0.344141 , 10 , 4.87829e-44 , 0.593565 , 0.874008 , 
31 , 42.33 , 0.344141 , 0.344141 , 10 , 8.8248e-45 , 0.344141 , 10 , 1.59653e-45 , 0.593826 , 0.873382 , 
32 , 43.75 , 0.344141 , 0.344141 , 10 , 2.88854e-46 , 0.344141 , 10 , 5.2265e-47 , 0.594044 , 0.872777 , 
